,id,show_id,title,director,country,release_year,duration,listed_in,score,director1,cast1,cast2,cast3,country1,duration1,listed_in1,listed_in2,score1
2557,2557,s4081,Midnight Special,Jeff Nichols,"United States, Greece",2016,112 min,"Action & Adventure, Sci-Fi & Fantasy",3,777,508,977,777,484,112,Action & Adventure,0,5
2558,2558,s4083,Mighty Express: A Mighty Christmas,Clint Butler,Canada,2020,26 min,Children & Family Movies,0,793,633,358,793,39,26,Children & Family Movies,4,2
2559,2559,s4091,Mike Birbiglia: My Girlfriend's Boyfriend,Seth Barrish,United States,2013,76 min,Stand-Up Comedy,1,9,506,189,9,440,76,Stand-Up Comedy,25,1
2560,2560,s4092,Mike Birbiglia: Thank God for Jokes,"Seth Barrish, Mike Birbiglia",United States,2017,71 min,Stand-Up Comedy,3,521,631,902,521,440,71,Stand-Up Comedy,25,3
2561,2561,s4093,Mike Birbiglia: The New One,Seth Barrish,United States,2019,86 min,Stand-Up Comedy,4,418,618,249,418,440,86,Stand-Up Comedy,25,4
2562,2562,s4095,Mike Epps: Don't Take It Personal,L. Frazier,United States,2015,60 min,Stand-Up Comedy,5,570,271,484,570,440,60,Stand-Up Comedy,25,5
2563,2563,s4096,Mike Epps: Only One Mike,Kevin Bray,United States,2019,63 min,Stand-Up Comedy,0,999,310,737,999,440,63,Stand-Up Comedy,25,0
2564,2564,s4097,Milada,David Mrnka,"Czech Republic, United States",2017,124 min,"Dramas, International Movies",4,572,815,595,572,89,124,Dramas,12,4
2565,2565,s4098,Mile 22,Peter Berg,"United States, China, Colombia",2018,94 min,Action & Adventure,5,740,509,62,740,463,94,Action & Adventure,0,5
2566,2566,s4099,Milea,"Fajar Bustomi, Pidi Baiq",Indonesia,2020,100 min,"Dramas, International Movies, Romantic Movies",5,228,956,200,228,192,100,Dramas,12,5
2567,2567,s4100,Miles Davis: Birth of the Cool,Stanley Nelson,United States,2019,115 min,"Documentaries, Music & Musicals",4,827,304,870,827,440,115,Documentaries,10,4
2568,2568,s4101,MILF,Axelle Laffont,"France, Belgium",2018,102 min,"Comedies, International Movies, Romantic Movies",0,606,85,805,606,108,102,Comedies,7,2
2569,2569,s4102,Milk,Gus Van Sant,United States,2008,128 min,"Dramas, Independent Movies, LGBTQ Movies",2,159,510,684,159,440,128,Dramas,12,4
2570,2570,s4108,MindGamers,Andrew Goth,Austria,2017,99 min,"International Movies, Sci-Fi & Fantasy, Thrillers",1,495,438,382,495,21,99,International Movies,15,3
2571,2571,s4109,Mindhorn,Sean Foley,United Kingdom,2017,88 min,"Comedies, Cult Movies, Independent Movies",0,812,722,51,812,369,88,Comedies,7,2
2572,2572,s4111,Mine,"Fabio Guaglione, Fabio Resinaro","United States, Spain, Italy",2016,106 min,"Dramas, International Movies, Thrillers",2,894,883,285,894,515,106,Dramas,12,4
2573,2573,s4112,Mine 9,Eddie Mensore,United States,2019,83 min,"Dramas, Independent Movies",2,605,462,846,605,440,83,Dramas,12,4
2574,2574,s4117,Minimalism: A Documentary About the Important Things,Matt D'Avella,United States,2016,78 min,Documentaries,5,407,337,873,407,440,78,Documentaries,10,5
2575,2575,s4118,Minnaminugu the FireFly,Anil Thomas,India,2017,128 min,"Dramas, International Movies",3,350,849,372,350,173,128,Dramas,12,5
2576,2576,s4120,Miracle,Gavin O'Connor,"Canada, United States",2004,136 min,"Children & Family Movies, Dramas, Sports Movies",0,724,901,208,724,58,136,Children & Family Movies,4,2
2577,2577,s4121,Miracle in Cell No. 7,Mehmet Ada ?ztekin,Turkey,2019,132 min,"Dramas, International Movies",3,827,937,347,827,357,132,Dramas,12,5
2578,2578,s4122,Miraculous: Tales of Ladybug & Cat Noir,Thomas Astruc,"France, South Korea, Japan",2019,5 Seasons,"Kids' TV, TV Action & Adventure",1,652,595,954,652,137,5,Kids' TV,17,1
2579,2579,s4123,Mirage,Oriol Paulo,Spain,2018,129 min,"Dramas, International Movies, Sci-Fi & Fantasy",2,614,450,981,614,317,129,Dramas,12,4
2580,2580,s4124,Mirai,Mamoru Hosoda,Japan,2018,98 min,"Action & Adventure, Anime Features, Children & Family Movies",4,351,282,907,351,227,98,Action & Adventure,0,4
2581,2581,s4125,Miranda Sings Live¡­Your Welcome,Marcus Raboy,United States,2019,62 min,Stand-Up Comedy,2,339,10,214,339,440,62,Stand-Up Comedy,25,2
2582,2582,s4126,Mirror Mirror,Tarsem Singh,"United States, Canada",2012,106 min,"Children & Family Movies, Comedies",1,221,355,35,221,450,106,Children & Family Movies,4,3
2583,2583,s4127,Mirzya,Rakeysh Omprakash Mehra,India,2016,129 min,"Dramas, International Movies, Music & Musicals",5,523,574,858,523,173,129,Dramas,12,5
2584,2584,s4129,Mischief,Emcy Joseph,India,2019,120 min,"Comedies, Dramas, International Movies",4,606,583,620,606,173,120,Comedies,7,4
2585,2585,s4130,Misfit,Erwin van den Eshof,Netherlands,2017,81 min,"Children & Family Movies, Comedies, International Movies",2,604,224,844,604,247,81,Children & Family Movies,4,4
2586,2586,s4131,Misfit 2,Erwin van den Eshof,Netherlands,2019,82 min,"Children & Family Movies, Comedies, International Movies",4,258,874,455,258,247,82,Children & Family Movies,4,4
2587,2587,s4133,Miss Americana,Lana Wilson,United States,2020,85 min,"Documentaries, Music & Musicals",1,27,435,493,27,440,85,Documentaries,10,3
2588,2588,s4136,Miss Hokusai,Keiichi Hara,Japan,2015,90 min,Anime Features,3,688,165,87,688,227,90,Anime Features,1,5
2589,2589,s4138,Miss India,Narendra Nath,India,2020,136 min,"Dramas, International Movies",3,840,127,46,840,173,136,Dramas,12,5
2590,2590,s4139,Miss J Contemplates Her Choice,Jason Lai,Singapore,2014,89 min,"Dramas, International Movies, Thrillers",0,806,546,616,806,296,89,Dramas,12,2
2591,2591,s4140,Miss Julie,Liv Ullmann,"Norway, United Kingdom, France, Ireland",2014,130 min,"Dramas, International Movies",2,644,647,398,644,264,130,Dramas,12,4
2592,2592,s4141,Miss Me This Christmas,Kenny Young,United States,2017,85 min,Romantic Movies,1,390,345,216,390,440,85,Romantic Movies,22,1
2593,2593,s4145,Miss Sharon Jones!,Barbara Kopple,United States,2015,94 min,"Documentaries, Music & Musicals",4,991,212,152,991,440,94,Documentaries,10,4
2594,2594,s4146,Miss Stevens,Julia Hart,United States,2016,86 min,"Dramas, Independent Movies",2,51,234,46,51,440,86,Dramas,12,4
2595,2595,s4147,Miss Virginia,R.J. Daniel Hanna,United States,2019,102 min,"Dramas, Independent Movies",3,106,715,596,106,440,102,Dramas,12,5
2596,2596,s4148,Mission Blue,"Robert Nixon, Fisher Stevens","United States, Bermuda, Ecuador",2014,94 min,Documentaries,5,636,833,975,636,446,94,Documentaries,10,5
2597,2597,s4150,Mission Istaanbul: Darr Ke Aagey Jeet Hai,Apoorva Lakhia,India,2008,119 min,"Action & Adventure, International Movies, Music & Musicals",2,331,259,647,331,173,119,Action & Adventure,0,4
2598,2598,s4151,Mission of Honor,David Blair,"United Kingdom, Poland",2018,107 min,"Action & Adventure, Dramas",3,987,872,513,987,420,107,Action & Adventure,0,5
2599,2599,s4152,Mission: Destroy Love,Osman Ali,Malaysia,2014,93 min,"Comedies, International Movies, Romantic Movies",3,369,823,293,369,238,93,Comedies,7,5
2600,2600,s4153,Mississippi Grind,"Anna Boden, Ryan Fleck",United States,2015,109 min,"Dramas, Independent Movies",2,332,407,589,332,440,109,Dramas,12,4
2601,2601,s4154,Mitt,Greg Whiteley,United States,2014,93 min,Documentaries,5,854,746,88,854,440,93,Documentaries,10,5
2602,2602,s4155,Mo Amer: The Vagabond,Stan Lathan,United States,2018,57 min,Stand-Up Comedy,0,252,974,709,252,440,57,Stand-Up Comedy,25,0
2603,2603,s4156,Mo Gilligan: Momentum,Chris Howe,United Kingdom,2019,64 min,Stand-Up Comedy,0,293,811,293,293,369,64,Stand-Up Comedy,25,0
2604,2604,s4160,Modest Heroes: Ponoc Short Films Theatre,"Hiromasa Yonebayashi, Yoshiyuki Momose, Akihiko Yamashita",Japan,2018,54 min,"Anime Features, Children & Family Movies",0,948,569,66,948,227,54,Anime Features,1,2
2605,2605,s4162,Moh Maya Money,Munish Bhardwaj,India,2016,109 min,"Dramas, Independent Movies, International Movies",3,147,550,125,147,173,109,Dramas,12,5
2606,2606,s4163,Mohamed Hussein,Muhammad Ali,Egypt,2019,96 min,"Comedies, International Movies",4,877,410,61,877,100,96,Comedies,7,4
2607,2607,s4164,Mohawk,Ted Geoghegan,United States,2017,92 min,"Action & Adventure, Horror Movies, Independent Movies",3,331,989,98,331,440,92,Action & Adventure,0,5
2608,2608,s4165,Mohenjo Daro,Ashutosh Gowariker,India,2016,168 min,"Action & Adventure, Dramas, International Movies",2,627,409,317,627,173,168,Action & Adventure,0,4
2609,2609,s4166,Mojave,William Monahan,United States,2015,93 min,"Dramas, Independent Movies, Thrillers",3,434,595,564,434,440,93,Dramas,12,5
2610,2610,s4167,Mokalik (Mechanic),Kunle Afolayan,Nigeria,2019,100 min,"Dramas, International Movies",3,452,213,642,452,257,100,Dramas,12,5
2611,2611,s4169,Molly's Game,Aaron Sorkin,"China, Canada, United States",2017,141 min,Dramas,2,666,388,28,666,71,141,Dramas,12,4
2612,2612,s4170,Mom,Ravi Udyawar,India,2017,139 min,"Dramas, International Movies, Thrillers",5,234,434,35,234,173,139,Dramas,12,5
2613,2613,s4172,Moms at War,Omoni Oboli,Nigeria,2018,92 min,"Comedies, Dramas, International Movies",3,68,457,634,68,257,92,Comedies,7,5
2614,2614,s4173,Mona Lisa Smile,Mike Newell,United States,2003,119 min,Dramas,0,420,11,12,420,440,119,Dramas,12,2
2615,2615,s4175,Money,Martin Rosete,"United States, Spain",2016,84 min,Thrillers,3,12,431,89,12,513,84,Thrillers,31,3
2616,2616,s4178,Money Talks,Brett Ratner,United States,1997,96 min,"Action & Adventure, Comedies",1,589,508,512,589,440,96,Action & Adventure,0,3
2617,2617,s4179,Money Trap,Y?lmaz Erdo?an,Turkey,2019,122 min,"Comedies, Dramas, International Movies",1,830,135,587,830,357,122,Comedies,7,3
2618,2618,s4183,Monkey Up,Robert Vince,Canada,2016,83 min,"Children & Family Movies, Comedies",1,27,36,546,27,39,83,Children & Family Movies,4,3
2619,2619,s4184,Monopoly (The Bank Of Luck),Ahmed El Gendy,Egypt,2017,117 min,"Comedies, International Movies",0,685,374,707,685,100,117,Comedies,7,2
2620,2620,s4185,Monster Family,Holger Tappe,"Germany, United Kingdom",2017,93 min,Children & Family Movies,2,38,148,398,38,153,93,Children & Family Movies,4,4
2621,2621,s4186,Monster High 13 Wishes,Steve Sacks,United States,2013,73 min,Children & Family Movies,0,84,804,650,84,440,73,Children & Family Movies,4,2
2622,2622,s4187,"Monster High: Boo York, Boo York",William Lau,United States,2015,72 min,"Children & Family Movies, Music & Musicals",4,892,196,933,892,440,72,Children & Family Movies,4,4
2623,2623,s4189,Monster High: Escape from Skull Shores,"Steve Ball, Andrew Duncan",United States,2012,46 min,Children & Family Movies,5,208,610,506,208,440,46,Children & Family Movies,4,5
2624,2624,s4190,Monster High: Freaky Fusion,"William Lau, Sylvain Blais",United States,2014,74 min,Children & Family Movies,4,515,175,141,515,440,74,Children & Family Movies,4,4
2625,2625,s4191,Monster High: Friday Night Frights,Dustin McKenzie,United States,2013,46 min,Children & Family Movies,2,12,829,797,12,440,46,Children & Family Movies,4,4
2626,2626,s4192,Monster High: Fright On!,"Victor Dal Chele, Alfred Gimeno",United States,2011,46 min,Children & Family Movies,1,104,611,584,104,440,46,Children & Family Movies,4,3
2627,2627,s4193,"Monster High: Frights, Camera, Action!",William Lau,United States,2014,74 min,Children & Family Movies,1,592,884,158,592,440,74,Children & Family Movies,4,3
2628,2628,s4194,Monster High: Ghouls Rule,"Mike Fetterly, Steve Sacks",United States,2012,71 min,Children & Family Movies,0,7,73,606,7,440,71,Children & Family Movies,4,2
2629,2629,s4195,Monster High: Great Scarrier Reef,William Lau,United States,2016,72 min,Children & Family Movies,4,375,340,938,375,440,72,Children & Family Movies,4,4
2630,2630,s4197,Monster High: New Ghoul at School,"Audu Paden, Eric Radomski",United States,2010,23 min,Children & Family Movies,1,625,190,15,625,440,23,Children & Family Movies,4,3
2631,2631,s4198,"Monster High: Scaris, City of Frights","Dustin McKenzie, Andrew Duncan, Audu Paden",United States,2013,60 min,Children & Family Movies,4,256,707,8,256,440,60,Children & Family Movies,4,4
2632,2632,s4199,Monster High: Why Do Ghouls Fall in Love?,"Dustin McKenzie, Steve Sacks",United States,2013,46 min,Children & Family Movies,0,399,484,488,399,440,46,Children & Family Movies,4,2
2633,2633,s4200,Monster House,Gil Kenan,United States,2006,91 min,"Children & Family Movies, Comedies",3,439,779,503,439,440,91,Children & Family Movies,4,5
2634,2634,s4201,Monster Island,Leopoldo Aguilar,"India, Mexico",2017,81 min,Children & Family Movies,5,569,659,164,569,182,81,Children & Family Movies,4,5
2635,2635,s4203,Monster-in-Law,Robert Luketic,"United States, Germany",2005,101 min,"Comedies, Romantic Movies",1,139,451,825,139,477,101,Comedies,7,3
2636,2636,s4204,Monsters: Dark Continent,Tom Green,United Kingdom,2014,119 min,"Action & Adventure, Dramas, Independent Movies",0,900,772,212,900,369,119,Action & Adventure,0,2
2637,2637,s4208,Monty Python and the Holy Grail,"Terry Gilliam, Terry Jones",United Kingdom,1975,92 min,"Action & Adventure, Classic Movies, Comedies",4,933,72,985,933,369,92,Action & Adventure,0,4
2638,2638,s4211,"Monty Python Live (Mostly): One Down, Five to Go",Eric Idle,United Kingdom,2014,137 min,Comedies,3,498,99,293,498,369,137,Comedies,7,5
2639,2639,s4212,Monty Python: Before the Flying Circus,Will Yapp,United Kingdom,2000,56 min,"Comedies, Documentaries",5,392,995,803,392,369,56,Comedies,7,5
2640,2640,s4214,Monty Python: Live at The Hollywood Bowl,"Terry Hughes, Ian MacNaughton",United Kingdom,1982,80 min,Comedies,1,140,156,671,140,369,80,Comedies,7,3
2641,2641,s4215,Monty Python: The Meaning of Live,"Roger Graef, James Rogan",United Kingdom,2014,94 min,Documentaries,2,884,668,7,884,369,94,Documentaries,10,4
2642,2642,s4219,Monty Python's Life of Brian,Terry Jones,United Kingdom,1979,94 min,"Classic Movies, Comedies, Cult Movies",1,532,400,651,532,369,94,Classic Movies,6,3
2643,2643,s4222,Moon,Duncan Jones,"United Kingdom, United States",2009,97 min,"Dramas, Independent Movies, Sci-Fi & Fantasy",4,474,246,275,474,430,97,Dramas,12,4
2644,2644,s4223,Moonlight,Barry Jenkins,United States,2016,111 min,"Dramas, Independent Movies, LGBTQ Movies",5,718,867,976,718,440,111,Dramas,12,5
2645,2645,s4224,Moonwalkers,Antoine Bardou-Jacquet,"France, Belgium",2015,96 min,"Action & Adventure, Comedies, International Movies",1,550,245,604,550,108,96,Action & Adventure,0,3
2646,2646,s4225,Moor,Jami,"Pakistan, United States",2015,135 min,"Dramas, Independent Movies, International Movies",3,497,716,388,497,268,135,Dramas,12,5
2647,2647,s4228,Morris from America,Chad Hartigan,"Germany, United States",2016,91 min,"Dramas, Independent Movies, International Movies",0,271,76,272,271,155,91,Dramas,12,2
2648,2648,s4231,Morya,Avadhoot Gupte,India,2011,121 min,"Dramas, International Movies",1,337,311,338,337,173,121,Dramas,12,3
2649,2649,s4232,Moshe Kasher: Live in Oakland,Jay Chapman,United States,2012,61 min,Stand-Up Comedy,1,211,746,710,211,440,61,Stand-Up Comedy,25,1
2650,2650,s4235,Mostly Sunny,Dilip Mehta,Canada,2016,83 min,"Documentaries, International Movies",1,76,403,617,76,39,83,Documentaries,10,3
2651,2651,s4236,Mosul,Matthew Michael Carnahan,United States,2020,103 min,"Action & Adventure, Dramas, International Movies",2,481,709,354,481,440,103,Action & Adventure,0,4
2652,2652,s4237,MOTHER,Tatsushi Omori,Japan,2020,127 min,"Dramas, International Movies",4,631,257,579,631,227,127,Dramas,12,4
2653,2653,s4239,Motichoor Chaknachoor,Debamitra Biswal,India,2019,132 min,"Comedies, Dramas, International Movies",2,84,768,992,84,173,132,Comedies,7,4
2654,2654,s4240,Motor Mitraan Di,Amitoj Mann,India,2016,117 min,"Comedies, International Movies",1,723,392,486,723,173,117,Comedies,7,3
2655,2655,s4242,Motu Patlu: King of Kings,Suhas Kadav,India,2016,109 min,"Children & Family Movies, Comedies",5,980,736,434,980,173,109,Children & Family Movies,4,5
2656,2656,s4245,Movie 43,"Peter Farrelly, Will Graham, Steve Carr, Griffin Dunne, Steve Brill, James Duffy, Jonathan van Tulleken, Elizabeth Banks, Patrik Forsberg, Brett Ratner, Rusty Cundieff, James Gunn",United States,2013,94 min,Comedies,0,285,71,539,285,440,94,Comedies,7,2
2657,2657,s4248,Mowgli: Legend of the Jungle,Andy Serkis,"United Kingdom, United States",2018,105 min,"Action & Adventure, Children & Family Movies, Dramas",4,814,806,953,814,430,105,Action & Adventure,0,4
2658,2658,s4249,Mr. Chandramouli,Thiru,India,2018,131 min,"Dramas, International Movies, Thrillers",1,918,623,784,918,173,131,Dramas,12,3
2659,2659,s4250,Mr. Church,Bruce Beresford,United States,2016,105 min,Dramas,2,1000,904,238,1000,440,105,Dramas,12,4
2660,2660,s4251,Mr. Deeds,Steve Brill,United States,2002,97 min,"Comedies, Romantic Movies",1,47,278,164,47,440,97,Comedies,7,3
2661,2661,s4252,Mr. Gaga: A True Story of Love and Dance,Tomer Heymann,"Israel, Sweden, Germany, Netherlands",2015,102 min,"Documentaries, International Movies",3,92,856,694,92,215,102,Documentaries,10,5
2662,2662,s4254,Mr. Peabody & Sherman,Rob Minkoff,United States,2014,93 min,"Children & Family Movies, Comedies, Sci-Fi & Fantasy",2,22,97,84,22,440,93,Children & Family Movies,4,4
2663,2663,s4255,Mr. Pig,Diego Luna,Mexico,2016,97 min,"Dramas, Independent Movies, International Movies",3,297,585,99,297,239,97,Dramas,12,5
2664,2664,s4256,MR. RIGHT,Paco Cabezas,United States,2015,96 min,"Action & Adventure, Comedies, Romantic Movies",0,375,722,926,375,440,96,Action & Adventure,0,2
2665,2665,s4258,Mr. Roosevelt,No?l Wells,United States,2017,91 min,"Comedies, Independent Movies",0,26,85,530,26,440,91,Comedies,7,2
2666,2666,s4259,Mr. Sunshine,Lee Eung-bok,South Korea,2018,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",4,286,737,416,286,311,1,International TV Shows,16,4
2667,2667,s4260,Mr. Virgin,Anthony Chan,Hong Kong,1984,86 min,"Comedies, Dramas, International Movies",0,35,907,961,35,163,86,Comedies,7,2
2668,2668,s4261,Mr. Woodcock,Craig Gillespie,United States,2007,88 min,Comedies,3,181,537,788,181,440,88,Comedies,7,5
2669,2669,s4263,Mrs. Serial Killer,Shirish Kunder,India,2020,107 min,"International Movies, Thrillers",4,548,709,32,548,173,107,International Movies,15,4
2670,2670,s4264,Ms. Mammy,Wael Ihsan,Egypt,2012,90 min,"Comedies, International Movies",1,551,61,17,551,100,90,Comedies,7,3
2671,2671,s4265,Mubarakan,Anees Bazmee,India,2017,153 min,"Comedies, Dramas, International Movies",0,236,652,699,236,173,153,Comedies,7,2
2672,2672,s4266,Much Ado About Nothing,Alejandro Fern¨¢ndez Almendras,"Chile, United States, France",2016,96 min,"Dramas, Independent Movies, International Movies",1,392,404,582,392,69,96,Dramas,12,3
2673,2673,s4267,Much Loved,Nabil Ayouch,"France, Morocco",2015,104 min,"Dramas, Independent Movies, International Movies",0,744,232,880,744,132,104,Dramas,12,2
2674,2674,s4268,Mucho Mucho Amor: The Legend of Walter Mercado,"Cristina Costantini, Kareem Tabsch",United States,2020,96 min,"Documentaries, LGBTQ Movies",3,416,278,366,416,440,96,Documentaries,10,5
2675,2675,s4269,Mucize,Mahsun K?rm?z?g¨¹l,Turkey,2015,136 min,"Dramas, International Movies",5,913,511,229,913,357,136,Dramas,12,5
2676,2676,s4270,Mud,Jeff Nichols,United States,2012,131 min,"Dramas, Independent Movies",1,977,216,719,977,440,131,Dramas,12,3
2677,2677,s4271,Mudbound,Dee Rees,United States,2017,135 min,"Dramas, Independent Movies",4,754,511,932,754,440,135,Dramas,12,4
2678,2678,s4272,Mugamoodi,Mysskin,India,2012,150 min,"Action & Adventure, International Movies",4,509,323,779,509,173,150,Action & Adventure,0,4
2679,2679,s4273,Mujeres arriba,Andr¨¦s Feddersen,Chile,2019,98 min,"Comedies, International Movies, Romantic Movies",4,774,976,957,774,63,98,Comedies,7,4
2680,2680,s4274,Mujhse Shaadi Karogi,David Dhawan,India,2004,158 min,"Comedies, International Movies, Romantic Movies",5,9,272,472,9,173,158,Comedies,7,5
2681,2681,s4275,Mujrim,Umesh Mehra,India,1989,163 min,"Action & Adventure, Dramas, International Movies",3,165,518,323,165,173,163,Action & Adventure,0,5
2682,2682,s4276,Mukhsin,Yasmin Ahmad,Malaysia,2006,98 min,"Children & Family Movies, Comedies, Dramas",1,310,15,689,310,238,98,Children & Family Movies,4,3
2683,2683,s4277,Mumbai Cha Raja,Manjeet Singh,India,2012,77 min,"Dramas, Independent Movies, International Movies",3,484,466,14,484,173,77,Dramas,12,5
2684,2684,s4278,Mumbai Delhi Mumbai,Satish Rajwade,India,2014,107 min,"Comedies, International Movies, Romantic Movies",1,516,150,50,516,173,107,Comedies,7,3
2685,2685,s4279,Mumbai Matinee,Anant Balani,India,2003,116 min,"Comedies, International Movies, Romantic Movies",2,976,302,978,976,173,116,Comedies,7,4
2686,2686,s4280,Mumbai Meri Jaan,Nishikant Kamat,India,2008,135 min,"Dramas, International Movies",1,237,683,149,237,173,135,Dramas,12,3
2687,2687,s4281,Munafik 2,Syamsul Yusof,Malaysia,2018,104 min,"Horror Movies, International Movies",4,431,312,687,431,238,104,Horror Movies,13,4
2688,2688,s4282,Mundeyan Ton Bachke Rahin,Navinder Pal Singh,India,2014,139 min,"Comedies, International Movies, Music & Musicals",2,447,972,640,447,173,139,Comedies,7,4
2689,2689,s4283,Mune: Guardian of the Moon,"Alexandre Heboyan, Beno?t Philippon",France,2014,85 min,Children & Family Movies,2,918,554,199,918,106,85,Children & Family Movies,4,4
2690,2690,s4284,Muppets Most Wanted,James Bobin,United States,2014,110 min,"Children & Family Movies, Comedies",3,969,493,361,969,440,110,Children & Family Movies,4,5
2691,2691,s4285,Muqaddar ka Faisla,Prakash Mehra,India,1987,172 min,"Action & Adventure, Comedies, Dramas",0,404,158,385,404,173,172,Action & Adventure,0,2
2692,2692,s4286,Muramba,Varun Narvekar,India,2017,128 min,"Comedies, Dramas, International Movies",0,283,385,628,283,173,128,Comedies,7,2
2693,2693,s4287,Muran,Rajan Madhav,India,2011,134 min,"Action & Adventure, International Movies",1,788,445,128,788,173,134,Action & Adventure,0,3
2694,2694,s4290,Murder Mystery,Kyle Newacheck,United States,2019,98 min,Comedies,1,910,416,78,910,440,98,Comedies,7,3
2695,2695,s4291,Murder Party,Jeremy Saulnier,United States,2007,79 min,"Comedies, Cult Movies, Horror Movies",4,333,834,255,333,440,79,Comedies,7,4
2696,2696,s4295,Music Teacher,Sarthak Dasgupta,India,2019,102 min,"Dramas, Independent Movies, International Movies",5,740,988,793,740,173,102,Dramas,12,5
2697,2697,s4296,Must Be... Love,Dado C. Lumibao,Philippines,2013,106 min,"Comedies, Dramas, International Movies",4,368,654,796,368,272,106,Comedies,7,4
2698,2698,s4297,Mustang Island,Craig Elrod,United States,2017,86 min,"Comedies, Dramas, Independent Movies",3,237,8,874,237,440,86,Comedies,7,5
2699,2699,s4299,Mute,Duncan Jones,"United Kingdom, Germany",2018,127 min,"Sci-Fi & Fantasy, Thrillers",3,772,845,506,772,396,127,Sci-Fi & Fantasy,24,3
2700,2700,s4300,Mutiny of the Worker Bees,Carlos Morett,Mexico,2020,94 min,"Comedies, International Movies",5,411,740,100,411,239,94,Comedies,7,5
2701,2701,s4301,Mutiny on the Bounty,"Lewis Milestone, Carol Reed",United States,1962,185 min,"Action & Adventure, Classic Movies, Dramas",4,679,181,37,679,440,185,Action & Adventure,0,4
2702,2702,s4303,My Amnesia Girl,Cathy Garcia-Molina,Philippines,2010,105 min,"International Movies, Romantic Movies",3,322,400,680,322,272,105,International Movies,15,5
2703,2703,s4305,My Babysitter's a Vampire: The Movie,Bruce McDonald,Canada,2010,80 min,"Children & Family Movies, Comedies",2,276,475,59,276,39,80,Children & Family Movies,4,4
2704,2704,s4306,My Beautiful Broken Brain,"Sophie Robinson, Lotje Sodderland",United Kingdom,2016,84 min,"Documentaries, International Movies",4,640,542,859,640,369,84,Documentaries,10,4
2705,2705,s4307,My Big Night,¨¢lex de la Iglesia,Spain,2015,97 min,"Comedies, International Movies, Music & Musicals",2,792,656,458,792,317,97,Comedies,7,4
2706,2706,s4308,My Birthday Song,Samir Soni,India,2018,92 min,"Dramas, International Movies, Thrillers",3,711,447,997,711,173,92,Dramas,12,5
2707,2707,s4309,My Brother ... Nikhil,Onir,India,2005,116 min,"Dramas, Independent Movies, International Movies",1,99,808,550,99,173,116,Dramas,12,3
2708,2708,s4311,My Daddy is in Heaven,Waymon Boone,United States,2017,95 min,"Dramas, Faith & Spirituality",1,69,910,192,69,440,95,Dramas,12,3
2709,2709,s4314,My Dog is My Guide,Ismail Farouk,Egypt,2013,99 min,"Comedies, International Movies",0,64,712,976,64,100,99,Comedies,7,2
2710,2710,s4315,My Entire High School Sinking Into the Sea,Dash Shaw,United States,2016,77 min,"Comedies, Independent Movies",1,206,882,896,206,440,77,Comedies,7,3
2711,2711,s4316,My Ex & Whys,Cathy Garcia-Molina,Philippines,2017,121 min,"Comedies, Dramas, International Movies",4,935,461,821,935,272,121,Comedies,7,4
2712,2712,s4317,My Ex-Ex,Nathaniel Warsh,Canada,2015,91 min,"Comedies, Romantic Movies",2,180,288,610,180,39,91,Comedies,7,4
2713,2713,s4319,My Friend Pinto,Raaghav Dar,India,2011,100 min,"Comedies, International Movies, Sci-Fi & Fantasy",5,486,554,397,486,173,100,Comedies,7,5
2714,2714,s4320,My Fuhrer,Dani Levy,Germany,2007,91 min,"Comedies, International Movies",1,739,205,788,739,144,91,Comedies,7,3
2715,2715,s4321,My Girl,Howard Zieff,United States,1991,102 min,Dramas,3,980,126,91,980,440,102,Dramas,12,5
2716,2716,s4322,My Happy Family,"Nana Ekvtimishvili, Simon Gross","Georgia, Germany, France",2017,119 min,"Dramas, Independent Movies, International Movies",1,508,863,839,508,143,119,Dramas,12,3
2717,2717,s4324,My Honor Was Loyalty,Alessandro Pepe,Italy,2015,115 min,Dramas,3,2,151,541,2,217,115,Dramas,12,5
2718,2718,s4325,My Horrible Grandma,Sameh Abdulaziz,Egypt,2012,100 min,"Comedies, Dramas, International Movies",3,425,929,744,425,100,100,Comedies,7,5
2719,2719,s4328,My Life as a Zucchini,Claude Barras,"Switzerland, France",2016,68 min,"Comedies, Dramas, International Movies",3,675,346,42,675,344,68,Comedies,7,5
2720,2720,s4331,My Little Pony Equestria Girls: Forgotten Friendship,Ishi Rudell,"United States, Canada",2018,44 min,Children & Family Movies,2,894,746,498,894,450,44,Children & Family Movies,4,4
2721,2721,s4332,My Little Pony Equestria Girls: Friendship Games,"Ishi Rudell, Jayson Thiessen","United States, Canada",2015,72 min,"Children & Family Movies, Comedies",5,591,323,103,591,450,72,Children & Family Movies,4,5
2722,2722,s4333,My Little Pony Equestria Girls: Legend of Everfree,Ishi Rudell,"United States, Canada",2016,73 min,"Children & Family Movies, Comedies",3,249,602,470,249,450,73,Children & Family Movies,4,5
2723,2723,s4334,My Little Pony Equestria Girls: Rainbow Rocks,"Jayson Thiessen, Ishi Rudell","United States, Canada",2014,73 min,"Children & Family Movies, Comedies",0,759,697,820,759,450,73,Children & Family Movies,4,2
2724,2724,s4335,My Little Pony Equestria Girls: Rollercoaster of Friendship,Ishi Rudell,"United States, Canada",2018,44 min,Children & Family Movies,3,170,190,177,170,450,44,Children & Family Movies,4,5
